A O
passable O
service.. B-TARGET
overcooked O
dishes, B-TARGET
sauces B-TARGET
fixed O
in O
their O
pots O
(we O
wonder O
if O
they O
weren't O
on O
other O
tables O
before O
we O
were O
served), O
the O
price O
is O
correct O
but O
the O
taste O
is O
not O
at O
make O
you... O
very O
disappointed O
by O
this O
rest B-TARGET

We O
liked O
the O
atmosphere, B-TARGET
on O
the O
main O
promenade B-TARGET
of O
Narbonne-Plage, O
and O
the O
quality O
of O
the O
service. B-TARGET

We O
will O
come O
back! O

It O
was O
expected O
to O
be O
better O
(average O
quality). O

Not O
bad, O
but O
no O
more. O

We O
do O
not O
think O
to O
go O
back. O

An O
address B-TARGET
to O
keep O
for O
yourself O
stunning O
views B-TARGET
on O
the O
hippodrome O
and O
golf O
think O
to O
book O
down O
near O
the O
windows O
the O
kitchen B-TARGET
and O
good O
and O
in O
addition O
the O
service B-TARGET
is O
with O
a O
smile O

A O
little O
lady O
welcomes O
us O
without O
a O
smile O
but O
especially O
without O
enthusiasm, O
it O
must O
have O
annoyed O
her O
having O
clients O
on O
a O
Tuesday O
evening.... O
3 O
tables. O

So O
let’s O
pass... O

However, O
we O
ordered O
pasta O
lasagnes, B-TARGET
with O
a O
lot O
of O
unflavored O
cheese B-TARGET
on O
top, O
which O
mitigated O
the O
acidity O
of O
the O
tomato B-TARGET
concentrate...! I-TARGET

All O
dessert B-TARGET
except O
for O
home. O

I O
really O
do O
not O
recommend, O
even O
if O
your O
refrigerator O
is O
empty O
and O
the O
others O
left O
next O
door O
are O
full O
and O
you O
don’t O
know O
where O
to O
go..... O

It’s O
even O
better O
to O
go O
to O
McDonalds. O

Really O
pleasantly O
surprised! O

The O
menu B-TARGET
is O
very O
good O
and O
well O
served. O

It’s O
always O
very O
original, O
you O
can O
taste O
dishes B-TARGET
that O
you O
won’t O
see O
anywhere O
else. O

The O
dessert B-TARGET
table I-TARGET
really O
gives O
you O
desire, O
you O
cut O
a O
good O
portion O
of O
gourmet B-TARGET
cake I-TARGET
or O
fresh, O
homemade O
cake! B-TARGET

It O
feels O
like O
home O
with O
good O
quality. O

The O
team B-TARGET
is O
adorable! O

Go O
to O
the O
terrace, B-TARGET
which O
is O
very O
beautiful. O

amazing O
concept O
at O
first O
but O
very O
efficient O
because O
the O
kitchen B-TARGET
is O
good O
and O
the O
place B-TARGET
friendly!! O
the O
tartar B-TARGET
is O
excellent O
and O
the O
homemade O
fries B-TARGET
are O
a O
will O
for O
a O
price O
all O
made O
convenient! O

very O
well O

2 O
hours O
of O
waiting B-TARGET
for O
no O
service B-TARGET
and O
exhausted O
bosses! B-TARGET

So O
much O
to O
strongly O
recommend!! O

The O
former O
bosses O
had O
nothing O
to O
have, O
the O
bosses O
know O
nothing O
about O
restoration. O

Located O
in O
the O
small O
Venice O
with O
waterfront B-TARGET
terrace, I-TARGET
the O
place B-TARGET
seemed O
ideal O
for O
this O
day O
spent O
in O
Colmar. O

Then O
we O
were, O
say, O
surprised O
by O
the O
reception. B-TARGET

A O
rather O
contemptuous O
character O
welcomed O
us O
against O
the O
heart O
in O
view O
of O
his O
attitude. O

Even O
though O
the O
meal B-TARGET
was O
quite O
abundant O
and O
good, O
