We O
felt O
very O
comfortable. O

Good O
service, B-TARGET
cozy O
and O
quiet O
atmosphere, B-TARGET
good O
food. B-TARGET

Highly O
recommended. O

The O
service B-TARGET
is O
very O
good, O
the O
waiters B-TARGET
are O
very O
attentive O
to O
you O
all O
the O
time. O

And O
the O
food B-TARGET
is O
spectacular, O
that's O
why O
you O
pay O
for O
the O
good O
food.... O

The O
only O
thing O
I O
saw O
weak O
is O
that O
I O
asked O
for O
a O
little O
Provencal B-TARGET
sauce I-TARGET
and O
they O
charged O
us O
for O
it, O
otherwise O
everything O
was O
fine. O

Nothing O
special. O

I O
had O
heard O
great O
things O
about O
it O
and O
it's O
fine, O
but O
nothing O
more. O

The O
meats B-TARGET
are O
good, O
but O
like O
many O
others. O

The O
price, O
for O
what O
the O
food B-TARGET
is, O
for O
my O
taste O
is O
high. O

The O
quality O
of O
the O
product, B-TARGET
the O
service, B-TARGET
the O
environment B-TARGET
everything O
was O
excellent. O

9reinas B-TARGET
has O
already O
been O
one O
of O
the O
best O
experiences O
we O
have O
had O
in O
recent O
years. O

The O
service B-TARGET
is O
very O
good O
and O
the O
quality O
of O
the O
food B-TARGET
at O
the O
same O
level. O

The O
prices O
are O
adequate O
and O
you O
can O
spend O
more O
or O
less O
depending O
on O
your O
pocket O
because O
the O
menu B-TARGET
is O
very O
extensive. O

We O
will O
be O
back. O

Fabulous, O
very O
attentive, O
excellent O
food B-TARGET
and O
a O
great O
atmosphere. B-TARGET

My O
friends O
were O
delighted O
and O
so O
were O
we. O

It O
is O
worth O
going O
and O
try O
their O
meats. B-TARGET

The O
restaurant B-TARGET
is O
beautiful, O
modern O
and O
cozy. O

The O
food B-TARGET
is O
delicious O
and O
quality. O

The O
service B-TARGET
is O
very O
attentive. O

We O
have O
been O
several O
times O
for O
dinner O
at O
9reinas B-TARGET
and O
it O
never O
disappoints! O

The O
quality O
of O
the O
meats, B-TARGET
the O
excellent O
service B-TARGET
and O
the O
good O
wine O
cellar B-TARGET
make O
it O
a O
spectacular O
place! O

No O
doubt O
we O
will O
repeat. O

Excellent O
restaurant B-TARGET
with O
high O
quality O
meat. B-TARGET

We O
loved O
it! O

The O
truth O
is O
that O
everything O
was O
very O
good; O
the O
service, B-TARGET
the O
food B-TARGET
and O
the O
appearance, B-TARGET
all O
correct. O

We O
went O
for O
dinner O
and O
the O
truth O
is O
that O
we O
loved O
it. O

The O
place B-TARGET
is O
very O
nice, O
the O
food B-TARGET
is O
great O
and O
the O
treatment B-TARGET
is O
unbeatable. O

totally O
recommendable O

Everything O
was O
excellent, O
the O
quality, O
the O
time, B-TARGET
the O
atmosphere B-TARGET
(perhaps O
too O
bright) O
and O
the O
service. B-TARGET

The O
dulce B-TARGET
de I-TARGET
leche I-TARGET
is O
divine. O

First O
visit O
to O
this O
restaurant B-TARGET
with O
satisfactory O
results. O

Quality, O
professionalism O
and O
price O
according O
to O
the O
offer. O

Almost O
like O
in O
Argentina. O

Fantastic! O

Delicious!!! O

Fantastic O
restaurant B-TARGET
with O
excellent O
food B-TARGET
and O
even O
better O
service B-TARGET
!!!! O

tremendous O
kindness, B-TARGET
it's O
a O
pleasure! O

Very O
good O
service, B-TARGET
lack O
of O
bread B-TARGET
plates, I-TARGET
but O
in O
spite O
of O
that, O
everything O
is O
ok. O

Argentinean B-TARGET
music I-TARGET
would O
be O
nice. O

The O
prices O
are O
within O
normal O
parameters. O

I O
was O
there O
yesterday O
for O
a O
business O
lunch O
with O
a O
client O
and O
both O
the O
service B-TARGET
and O
the O
quality O
of O
the O
food B-TARGET
was O
excellent. O

Congratulations! O

A O
good O
restaurant, B-TARGET
although O
somewhat O
expensive O
for O
the O
amount O
of O
food B-TARGET
served O
on O
the O
plate. O

The O
roast B-TARGET
strip I-TARGET
was O
normal, O
nothing O
extraordinary. O

The O
desserts B-TARGET
and O
the O
matambre B-TARGET
were O
very O
good. O

The O
lighting B-TARGET
on O
the O
upper O
floor O
could O
be O
improved, O
too O
much O
flat O
light. O

100% O
recommendable. O

A O
beautiful O
place, B-TARGET
with O
an O
exquisite O
atmosphere. B-TARGET

The O
service B-TARGET
was O
unbeatable O
and O
the O
food B-TARGET
exceptional! O

Exquisite O
salads B-TARGET
and O
meat. B-TARGET

Plenty O
of O
food. B-TARGET

Surely O
you O
will O
not O
stay O
hungry O
and O
the O
quality O
is O
excellent. O

The O
quality O
of O
the O
meats B-TARGET
is O
unsurpassed O
and O
I O
want O
to O
highlight O
the O
excellent O
service B-TARGET
received. O

If O
you O
have O
not O
tried O
their O
meats B-TARGET
you O
are O
missing O
out O
on O
something O
great! O

I O
was O
having O
dinner O
with O
some O
friends O
and O
the O
food B-TARGET
was O
delicious O
and O
the O
treatment B-TARGET
of O
the O
waitresses O
was O
excellent. O

We O
will O
repeat O
for O
sure! O

The O
best O
thing: O
to O
be O
advised O
by O
them B-TARGET
when O
choosing O
a O
dish. O

I O
loved O
it! O

Words O
are O
superfluous... O
I'll O
be O
back O
for O
sure! O

The O
restaurants B-TARGET
we O
ate O
very O
well O
and O
also O
a O
charming O
and O
efficient O
service. B-TARGET

We O
had O
Vacío O
and O
Entrañas O
(specialties O
known, O
among O
other O
things, O
for O
the O
softness O
of O
their O
meat). O

At O
some O
points, O
we O
even O
wondered O
if O
what O
we O
had O
in O
our O
mouths O
was O
meat B-TARGET
or O
a O
piece O
of O
tire. O

Disappointing... O

The O
quality O
of O
the O
food B-TARGET
was O
excellent, O
the O
service B-TARGET
super O
friendly O
and O
always O
attentive. O

The O
atmosphere B-TARGET
was O
very O
cozy. O

An O
unforgettable O
dining O
experience. B-TARGET

Great O
food B-TARGET
and O
service B-TARGET

All O
very O
good O

Intimate O
and O
quiet O
atmosphere, B-TARGET
good O
service B-TARGET
and O
good O
quality O
meats. B-TARGET

The O
price O
is O
a O
bit O
high O
but O
reasonable. O

Excellent O
menu, B-TARGET
exquisite O
meats, B-TARGET
delicious O
specialties, B-TARGET
intimate O
atmosphere B-TARGET
and O
attentive O
service. B-TARGET

Very O
good O
value O
for O
money. O

Good O
service, B-TARGET
atmosphere B-TARGET
and O
excellent O
food. B-TARGET

The O
food B-TARGET
was O
very O
tasty, O
but O
the O
place B-TARGET
was O
extremely O
noisy O
(especially O
upstairs). O

There O
came O
a O
time O
when O
you O
felt O
like O
leaving O
because O
of O
the O
noise. B-TARGET

Little O
privacy. B-TARGET

Perhaps O
good O
for O
group O
dinners, O
but O
couples O
should O
abstain. O

Local B-TARGET
almost O
perfect, O
impeccable O
cuisine, B-TARGET
more O
than O
abundant O
quantity, O
extensive O
menu B-TARGET
(food O
and O
wines) O
and O
adequate O
price O
for O
what O
it O
offers. O

Highly O
recommended, O
therefore. O

As O
a O
caveat, O
I O
will O
say O
that, O
with O
the O
exception O
of O
the O
head B-TARGET
waiter I-TARGET
(or O
owner, O
which O
I O
do O
not O
know), O
attentive, O
polite O
and O
detail-oriented, O
the O
rest B-TARGET
of I-TARGET
the O
service, O
including O
wireless O
earpieces, O
is O
not O
up O
to O
the O
rest, O
more O
in O
terms O
of O
education O
and O
manners O
than O
ability: O
it O
should O
take O
care O
of O
aspects O
such O
as O
withdraw O
almost O
in O
a O
hurry O
unfinished O
dishes, O
tutear O
by O
default O
or O
offer O
silence O
as O
all O
response O
to O
the O
doubt O
of O
the O
diner O
in O
the O
choice O
between O
two O
options. O

It O
is O
a O
pity O
that O
by O
successfully O
investing O
in O
the O
complicated O
(premises, B-TARGET
raw O
materials, B-TARGET
image, B-TARGET
website), B-TARGET
the O
basics O
are O
overlooked: O
a O
couple O
