Good O
hour O
of O
the O
day. O

My O
name O
is O
Government! O

My O
young O
man O
and O
a O
couple O
of O
his O
friends O
celebrated O
their O
birthday O
literally O
on O
the O
other O
day O
at O
this O
restaurant. O

Good O
service B-TARGET
met O
us O
and O
took O
us O
to O
the O
table O
which O
served O
us O
very O
well. O

It O
was O
in O
a O
cozy O
corner B-TARGET
at O
the O
end O
of O
the O
main O
hall, O
the O
dim B-TARGET
light I-TARGET
is O
the O
main O
part O
of O
this O
restaurant O
there O
is O
no O
daylight O
it O
was O
a O
big O
plus O
for O
our O
birthday! O

We O
just O
arrived O
at O
four O
o’clock O
in O
the O
day, O
so O
the O
evening O
was O
pleasantly O
long. O

At O
our O
not O
big O
banquet O
we O
ordered O
a O
couple O
of O
pleasant O
dishes, B-TARGET
I O
ordered O
the O
snacks B-TARGET
very O
delicious O
was O
and O
quite O
inexpensive O
about O
300 O
rubles O
washed, O
my O
young O
man O
ordered O
meat B-TARGET
dishes I-TARGET
on I-TARGET
mangal, I-TARGET
which O
they O
have O
full, O
he O
will O
not O
please O
usually, O
and O
then O
liked O
his O
friends O
also O
ordered O
portions O
of O
different O
meat B-TARGET
on I-TARGET
mangal I-TARGET
also O
very O
liked! O

Closer O
to O
the O
evening O
we O
were O
warned O
that O
there O
would O
be O
live B-TARGET
music, I-TARGET
we O
were O
so O
pleased O
with O
this O
unexpected O
surprise O
we O
just O
had O
the O
time O
for O
dancing, O
and O
then O
accompanied O
by O
such O
a O
beautiful O
voice B-TARGET
of O
the O
soloist......!!! O

Overall, O
we O
stayed O
crazy O
pleased O
with O
the O
evening O
in O
this O
restaurant, B-TARGET
so O
we O
recommend O
it O
to O
everyone.) O

I O
was O
in O
the O
diet O
last O
week O
with O
a O
friend. O

They O
came O
by O
chance, O
both O
of O
them O
have O
not O
been O
to O
Chinese O
restaurants, O
decided O
to O
try O
what O
it O
is. O

They O
didn’t O
know O
what O
to O
order, O
relying O
on O
the O
waitress’s O
taste. O

Absolutely O
not O
disappointed! O

My O
friend O
brought O
me O
a O
pork, O
and O
I O
brought O
me O
a O
pork O
in O
Beijing. O

The O
food B-TARGET
is O
delicious, O
unusual. O

It O
would O
be O
interesting O
to O
come O
in O
and O
try O
something O
else. O

Regarding O
the O
interior B-TARGET
: O
the O
place B-TARGET
is O
quiet, O
no O
noisy O
companies O
(there O
was O
no, O
at O
least O
at O
the O
time O
of O
