Судя	O	-
по	O	-
предыдущим	O	-
сообщениям,	O	-
раньше	O	-
это	O	-
было	O	-
хорошее	O	-
место,	B-TARGET	HighQuality
но	O	-
не	O	-
теперь.	O	-

Мы,	O	-
четверо	O	-
из	O	-
нас,	O	-
пришли	O	-
в	O	-
полдень	O	-
-	O	-
место	O	-
было	O	-
пустым	O	-
-	O	-
и	O	-
персонал	B-TARGET	HighQuality
вел	O	-
себя	O	-
так,	O	-
как	O	-
будто	O	-
мы	O	-
навязывались	O	-
им,	O	-
и	O	-
они	O	-
были	O	-
очень	O	-
грубы.	O	-

Они	O	-
не	O	-
принесли	O	-
нам	O	-
лапшу,	O	-
проигнорировали	O	-
неоднократные	O	-
просьбы	O	-
о	O	-
сахаре	O	-
и	O	-
бросили	O	-
нашу	O	-
посуду	O	-
на	O	-
стол.	O	-

Еда	B-TARGET	HighQuality
была	O	-
паршивой	O	-
-	O	-
слишком	O	-
сладкой	O	-
или	O	-
слишком	O	-
соленой,	O	-
а	O	-
порции	B-TARGET	HighQuality
крошечными.	O	-

После	O	-
всего	O	-
этого	O	-
они	O	-
жаловались	O	-
мне	O	-
на	O	-
маленькие	O	-
чаевые.	O	-

Избегайте	O	-
этого	O	-
места!	B-TARGET	HighQuality

Я	O	-
ел	O	-
в	O	-
Saul	O	-
много	O	-
раз,	O	-
еда	B-TARGET	HighQuality
всегда	O	-
неизменно,	O	-
возмутительно	O	-
хороша.	O	-

Saul	B-TARGET	HighQuality
-	O	-
лучший	O	-
ресторан	O	-
на	O	-
Смит-стрит	O	-
и	O	-
в	O	-
Бруклине.	O	-

Утиное	B-TARGET	HighQuality
конфи	I-TARGET	HighQuality
всегда	O	-
потрясающее,	O	-
а	O	-
террин	B-TARGET	HighQuality
из	I-TARGET	HighQuality
фуа-гра	I-TARGET	HighQuality
с	I-TARGET	HighQuality
инжиром	I-TARGET	HighQuality
был	O	-
вне	O	-
этого	O	-
мира.	O	-

Карта	B-TARGET	HighQuality
вин	I-TARGET	HighQuality
интересна	O	-
и	O	-
имеет	O	-
много	O	-
хороших	O	-
ценностей.	O	-

За	O	-
такую	O	-
цену	O	-
вы	O	-
не	O	-
сможете	O	-
так	O	-
хорошо	O	-
поесть	O	-
на	O	-
Манхэттене.	O	-

Я	O	-
был	O	-
очень	O	-
разочарован	O	-
этим	O	-
рестораном.	B-TARGET	HighQuality

Я	O	-
попросил	O	-
у	O	-
служащей	B-TARGET	LowQuality
тележки	I-TARGET	LowQuality
рис,	O	-
обернутый	O	-
листьями	O	-
лотоса,	O	-
она	O	-
ответила,	O	-
что	O	-
рис,	O	-
и	O	-
просто	O	-
ушла.	O	-

Мне	O	-
пришлось	O	-
просить	O	-
ее	O	-
три	O	-
раза,	O	-
прежде	O	-
чем	O	-
она	O	-
наконец	O	-
вернулась	O	-
с	O	-
блюдом,	O	-
которое	O	-
я	O	-
просил.	O	-

Еда	B-TARGET	HighQuality
была	O	-
нормальной,	O	-
ничего	O	-
выдающегося.	O	-

Chow	B-TARGET	HighQuality
fun	I-TARGET	HighQuality
был	O	-
сухим;	O	-
свинина	B-TARGET	HighQuality
shu	I-TARGET	HighQuality
mai	I-TARGET	HighQuality
была	O	-
более	O	-
чем	O	-
обычно	O	-
жирной,	O	-
и	O	-
мне	O	-
пришлось	O	-
сидеть	O	-
за	O	-
одним	O	-
столом	O	-
с	O	-
громкой	O	-
и	O	-
грубой	O	-
семьей.	O	-

Я/мы	O	-
никогда	O	-
больше	O	-
не	O	-
вернемся	O	-
в	O	-
это	O	-
место.	B-TARGET	HighQuality

Я	O	-
был	O	-
в	O	-
3-дневном	O	-
устричном	O	-
загуле,	O	-
когда	O	-
Рыба	B-TARGET	HighQuality
принесла	O	-
закрытие,	O	-
и	O	-
я	O	-
так	O	-
рад,	O	-
что	O	-
это	O	-
было	O	-
место,	O	-
где	O	-
закончилась	O	-
поездка,	O	-
потому	O	-
что	O	-
это	O	-
было	O	-
так	O	-
здорово!	O	-

Обслуживание	B-TARGET	HighQuality
было	O	-
великолепным,	O	-
устрицы	B-TARGET	HighQuality
были	O	-
чувственными,	O	-
как	O	-
они	O	-
приходят,	O	-
и	O	-
цена	O	-
не	O	-
может	O	-
быть	O	-
избита!!!	O	-

Вы	O	-
не	O	-
можете	O	-
ошибиться	O	-
здесь.	O	-

Каждый	O	-
раз,	O	-
когда	O	-
я	O	-
бываю	O	-
в	O	-
Нью-Йорке,	O	-
я	O	-
обязательно	O	-
посещаю	O	-
