A O
passable O
service.. B-TARGET
Surcooked O
dishes, B-TARGET
sauces B-TARGET
frozen O
in O
their O
pot O
(we O
wonder O
if O
they O
were O
not O
on O
other O
tables O
before O
we O
were O
served), O
the O
price O
is O
correct O
but O
the O
taste O
is O
not O
at O
the O
rendezvous... O
very O
disappointed O
by O
this O
restaurant B-TARGET

We O
enjoyed O
the O
atmosphere, B-TARGET
on O
the O
main O
promenade B-TARGET
of O
Narbonne-Plage, O
and O
the O
quality O
of O
the O
service. B-TARGET

We'll O
come O
back! O

we O
expected O
better O
(waiting, B-TARGET
average O
quality). O

Not O
bad, O
but O
no O
more. O

We O
don't O
think O
we're O
going O
back. O

An O
address B-TARGET
to O
keep O
for O
yourself O
stunning O
views B-TARGET
of O
the O
hippodrome O
and O
the O
golf O
course O
think O
to O
book O
down O
near O
the O
bay O
windows O
the O
kitchen B-TARGET
and O
good O
and O
in O
addition O
the O
service B-TARGET
is O
with O
the O
smile O

A O
little O
lady O
greets O
us O
without O
a O
smile O
but O
especially O
without O
enthusiasm, O
it O
must O
have O
pissed O
her O
off O
to O
have O
customers O
on O
Tuesday O
night.... O
3 O
tables. O

Anyway, O
let's... O

We O
still O
order, O
pastry B-TARGET
lasagna, I-TARGET
with O
a O
lot O
of O
tasteless O
cheese B-TARGET
on O
the O
top, O
which O
reduced O
the O
acidity O
of O
the O
tomato B-TARGET
concentrate...! I-TARGET

Dessert B-TARGET
everything O
except O
house....! O

I O
really O
don't O
recommend, O
even O
if O
your O
fridge O
is O
empty O
and O
the O
other O
restaurants O
next O
door O
are O
full O
and O
you O
don't O
know O
where O
to O
go..... O

It's O
better O
to O
go O
to O
McDo! O

Really O
very O
pleasantly O
surprised! O

The O
menu B-TARGET
of I-TARGET
the O
day O
is O
very O
good O
and O
well O
served! O

Always O
very O
original, O
you O
drop O
dishes B-TARGET
that O
you O
won't O
see O
anywhere O
else. O

The O
dessert B-TARGET
table I-TARGET
really O
makes O
you O
want, O
we O
cut O
you O
a O
lot O
of O
gourmet B-TARGET
pie I-TARGET
or O
fresh O
cake, B-TARGET
homemade! O

You O
feel O
a O
bit O
like O
at O
home O
with O
the O
high O
quality! O

And O
the O
team B-TARGET
is O
adorable! O

Also O
go O
for O
the O
terrace B-TARGET
that O
is O
very O
pretty! O

amazing O
concept O
at O
the O
beginning O
but O
very O
efficacious O
because O
the O
kitchen B-TARGET
is O
good O
and O
the O
friendly O
place!! B-TARGET
tartar B-TARGET
is O
excellent O
and O
the O
homemade O
fries B-TARGET
are O
at O
will O
for O
a O
price O
everything O
has O
done O
right! O

All O
right. O

2 O
hours O
of O
expectations B-TARGET
minumum O
no O
service B-TARGET
and O
boss B-TARGET
execrable! O

So O
much O
decu O
has O
to O
strongly O
advise!! O

The O
old O
bosses O
didn't O
have O
anything, O
the O
boss O
ny O
knows O
nothing O
about O
restoration. O

located O
in O
the O
small O
Venice O
with O
terrace B-TARGET
by I-TARGET
the I-TARGET
water, I-TARGET
the O
place B-TARGET
seemed O
ideal O
for O
this O
day O
spent O
in O
Colmar. O

Then O
we O
were, O
say, O
surprised O
by O
the O
welcome. B-TARGET

A O
rather O
disdainful O
character O
welcomed O
us O
against O
