Добрый O
час O
суток. O

Меня O
зовут O
Влада! O

Я O
со O
своим O
молодым O
человеком O
и O
пару O
его O
друзей O
отмечали O
день O
рожденье O
буквально O
на O
днях O
в O
этом O
ресторане. O

Обслуживание B-TARGET
хорошее O
нас O
встретил O
метрдотель B-TARGET
и O
провёл O
до O
столика O
который O
отлично O
нам O
подашел. O

Он O
был O
в O
уютном O
уголке B-TARGET
в O
конце O
главного O
зала, O
приглушенный B-TARGET
свет I-TARGET
это O
основная O
часть O
этого O
ресторана O
там O
нет O
дневного O
освещения O
это O
было O
большим O
плюсом O
для O
нашего O
дня O
рожденья! O

Просто O
мы O
пришли O
днем O
часиков O
в O
четыре, O
так O
что O
вечер O
приятно O
продлился…... O

На O
наш O
не O
большой O
банкетик O
мы O
заказали O
пару O
приятных O
блюд B-TARGET
, O
я O
заказала O
себе O
улитки B-TARGET
очень O
вкусно O
было O
и O
совсем O
недорого O
примерно O
300 O
рублей O
помоему, O
мой O
молодой O
человек O
заказал O
блюда B-TARGET
из I-TARGET
мяса I-TARGET
на I-TARGET
мангале I-TARGET
, O
которых O
у O
них O
полно, O
ему O
не O
угодишь O
обычно, O
а O
тут O
понравилось O
его O
друзья O
тоже O
заказали O
по O
порции O
разного O
мяса B-TARGET
на I-TARGET
мангале I-TARGET
тоже O
очень O
понравились! O

Ближе O
к O
вечеру O
нас O
предупредили O
о O
том, O
что O
будет O
живая B-TARGET
музыка I-TARGET
, O
мы O
так O
обрадовались O
этому O
неожиданному O
сюрпризу O
у O
нас O
как O
раз O
подошло O
время O
для O
танцев, O
а O
тут O
сопровождает O
такой O
прекрасный O
голос B-TARGET
солистки I-TARGET
……!!! O

В O
общем O
мы O
остались O
безумно O
довольны O
проведённым O
вечером O
в O
этом O
ресторане B-TARGET
, O
так O
что O
всем O
советуем)) O

Были O
в O
Дитае O
на O
прошлой O
неделе O
с O
подругой. O

Зашли O
случайно, O
обе O
в O
китайских O
ресторанах O
не O
бывали, O
решили O
попробовать, O
что O
это O
такое. O

Что O
заказывать O
не O
знали, O
положились O
на O
вкус O
официантки. O

Совершенно O
не O
разочаровались! O

Подруге O
принесли O
судака, O
мне O
- O
свинину O
по-пекински. O

Еда B-TARGET
вкусная, O
необычная. O

Интересно O
будет O
зайти O
и O
попробовать O
что-нибудь O
еще) O

По O
поводу O
интерьера B-TARGET
: O
место B-TARGET
спокойное, O
шумных O
компаний O
нет O
(не O
было, O
по O
крайней O
мере, O
в O
момент O
нашего O
посещения), O
очень O
приятная O
и O
уютная O
атмосфера B-TARGET
, O
все O
в O
лучших O
традициях. O

Остались O
очень O
довольны O
данным O
заведением B-TARGET
. O

Я O
несколько O
раз O
была O
в O
этом O
заведении,о O
кухне B-TARGET
могу O
сказать O
только O
самое O
хорошее. O

Потрясающая O
паста B-TARGET
с I-TARGET
лососем I-TARGET
,очень O
вкусные O
супчики B-TARGET
,отличные O
десерты B-TARGET
. O

Последний O
раз O
была O
с O
друзьями,все O
остались O
довольны O
и O
обслуживанием B-TARGET
и O
едой B-TARGET
. O

Интерьер B-TARGET
не O
плохой, O
несколько O
залов B-TARGET
на O
разный O
вкус O
и O
компанию. O

Вообщем O
стоящее O
место B-TARGET
для O
обеда O
и O
посиделок O
с O
друзьями. O

Вчера O
отмечали O
день O
рождения O
в O
ресторане, O
сходив O
туда O
за O
два O
дня O
на O
разведку. O

Нам O
двоим O
все O
понравилось O
и O
мы O
решили O
пригласить O
туда O
гостей, O
одна O
из O
которых O
по O
части O
еды O
была O
большим O
знатоком O
и O
критиком. O

Сразу O
хочу O
сказать, O
что O
критиковать O
ей O
не O
пришлось, O
т.к. O
она O
осталась, O
как O
впрочем O
и O
все O
остальные O
гости, O
очень O
довольна! O

Интерьер B-TARGET
в O
легком O
французском O
стиле O
с O
приятным O
освещением B-TARGET
на O
столиках, O
обслуживание B-TARGET
без O
навязывания O
лишних O
блюд O
и O
напитков O
(официантка O
Анна), O
все O
происходило O
четко O
и O
быстро. O

Ну O
а O
о O
качестве B-TARGET
и I-TARGET
исполнении I-TARGET
блюд I-TARGET
блюд B-TARGET
даже O
нечего O
говорить! O

Взяли O
все O
разные O
салаты B-TARGET
и O
горячие B-TARGET
, O
и O
все O
