We O
feel O
very O
pleasant. O

Good O
service, B-TARGET
friendly O
and O
quiet O
environment, B-TARGET
good O
food. B-TARGET

Very O
recommended O

The O
attention B-TARGET
is O
very O
good, O
the O
waiters B-TARGET
are O
very O
waiting O
for O
one O
all O
the O
time. O

And O
the O
food B-TARGET
is O
spectacular, O
that’s O
why O
good O
is O
paid O
for. O

The O
only O
thing O
I O
saw O
flojo O
is O
that O
I O
ordered O
a O
bit O
of O
Provence B-TARGET
sauce I-TARGET
and O
we O
were O
charged, O
so O
you O
gave O
it O
all O
right. O

Nothing O
special. O

I O
had O
wonderful O
comments O
and O
it’s O
fine, O
but O
nothing O
more. O

The O
meat B-TARGET
is I-TARGET
good, O
but O
like O
many O
others. O

The O
price, O
so O
is O
the O
food, B-TARGET
for O
my O
taste O
is O
high. O

the O
quality O
of O
the O
product, B-TARGET
the O
service, B-TARGET
the O
environment B-TARGET
all O
was O
excellent O

9 B-TARGET
queens I-TARGET
has O
already O
been O
one O
of O
the O
best O
experiences O
we O
have O
had O
in O
recent O
years. O

The O
service B-TARGET
is O
very O
good O
and O
the O
quality O
of O
the O
food B-TARGET
at O
the O
same O
level. O

The O
right O
prices O
and O
well O
you O
can O
make O
a O
greater O
or O
lesser O
spending O
depending O
on O
your O
pocket O
because O
the O
letter B-TARGET
is O
very O
wide. O

We O
will O
return. O

Fantastic, O
very O
attentive O
food B-TARGET
excellent O
and O
a O
great O
atmosphere. B-TARGET

My O
friends O
were O
delighted O
and O
we O
too. O

It O
is O
worth O
it O
to O
go O
and O
try O
their O
meats. B-TARGET

The O
restaurant B-TARGET
is O
beautiful, O
modern O
and O
welcoming. O

The O
food B-TARGET
is O
delicious O
and O
quality. O

Very O
attentive O
service. B-TARGET

We O
have O
been O
several O
times O
to O
dinner O
at O
the O
9 B-TARGET
queens I-TARGET
and O
never O
disappointed! O

The O
quality O
of O
the O
meats B-TARGET
the O
excellent O
service B-TARGET
and O
its O
good O
cellar B-TARGET
makes O
it O
a O
spectacular O
place!! O

We O
will O
definitely O
repeat. O

Excellent O
restaurant B-TARGET
with O
high O
quality O
meat. B-TARGET

I O
adore O
it! O

The O
truth O
is O
that O
everything O
very O
well; O
the O
service, B-TARGET
food B-TARGET
and O
appearance, B-TARGET
all O
right. O

We O
went O
to O
dinner O
and O
we O
really O
it. O

The O
place B-TARGET
is O
very O
nice, O
great O
food B-TARGET
and O
excellent O
treatment. B-TARGET

Totally O
Recommended O

It O
was O
all O
excellent, O
the O
quality, O
the O
times, B-TARGET
the O
atmosphere B-TARGET
(quizas O
too O
illuminated) O
and O
the O
service. B-TARGET

The O
sweet B-TARGET
of I-TARGET
milk I-TARGET
is O
divine. O

This O
was O
my O
first O
visit O
to O
this O
restaurant B-TARGET
with O
a O
very O
good O
result. O

Quality, O
professionalism O
and O
price O
in O
line O
with O
the O
offer. O

Just O
like O
in O
Argentina. O

It O
is O
fantastic!! O

It O
is O
delicious!! O

Fantastic O
restaurant B-TARGET
with O
excellent O
food B-TARGET
and O
service B-TARGET
even O
better!!!! O

Great O
kindness, B-TARGET
it O
is O
a O
taste! O

Very O
good O
service, B-TARGET
there O
are O
no O
dishes B-TARGET
for I-TARGET
bread, I-TARGET
but O
despite O
that, O
everything O
is O
fine. O

It O
was O
Argentine B-TARGET
music. I-TARGET

Prices O
are O
within O
normal O
parameters. O

I O
was O
at O
a O
business O
dinner O
yesterday O
with O
a O
customer O
and O
both O
the O
service B-TARGET
and O
the O
quality O
of O
the O
food B-TARGET
was O
excellent. O

Congratulations O
to O
you!! O

A O
good O
restaurant, B-TARGET
though O
somewhat O
expensive O
for O
the O
amount O
of O
food B-TARGET
served O
on O
the O
plate. O

The O
normal O
roast, B-TARGET
nothing O
extraordinary. O

The O
dessert B-TARGET
and O
the O
matambre. B-TARGET

It O
could O
improve O
the O
lighting B-TARGET
in O
the O
upper O
floor, O
too O
much O
flat O
light. O

100% O
is O
recommended. O

A O
beautiful O
place, B-TARGET
with O
a O
wonderful O
atmosphere. B-TARGET

Excellent O
service B-TARGET
and O
excellent O
food!! B-TARGET

Excellent O
salads B-TARGET
and O
meat. B-TARGET

A O
lot O
of O
food. B-TARGET

You O
won’t O
get O
hungry O
and O
the O
cleansing O
is O
excellent. O

The O
quality O
of O
the O
meats B-TARGET
is O
unbeatable O
and O
I O
want O
to O
highlight O
the O
excellent O
service B-TARGET
received. O

If O
you O
haven’t O
tried O
their O
meat, B-TARGET
you’re O
missing O
out O
on O
something O
very O
big! O

I O
had O
dinner O
with O
some O
friends O
and O
the O
food B-TARGET
was O
rich O
and O
the O
treatment B-TARGET
of O
the O
waitresses O
excellent. O

We O
will O
definitely O
repeat!! O

The O
best O
thing O
is O
to O
be O
advised O
by O
them B-TARGET
when O
choosing O
a O
dish. O

I O
love O
it!! O

Quit O
the O
words, O
I’ll O
be O
back! O

The O
restaurants B-TARGET
ate O
very O
well O
and O
also O
a O
charming O
and O
efficient O
service. B-TARGET

We O
take O
Vacuo O
and O
Entrañas O
(specialities O
known, O
among O
other O
things, O
for O
the O
softness O
of O
their O
meat). O

At O
some O
point, O
we O
came O
to O
wonder O
if O
what O
we O
had O
in O
our O
mouth O
was O
meat B-TARGET
or O
a O
piece O
of O
tire. O

Disappointed... O

The O
quality O
of O
the O
food B-TARGET
excellent, O
the O
service B-TARGET
super O
friendly O
and O
always O
attentive. O

Very O
welcoming O
environment. B-TARGET

An O
unforgettable O
culinary O
experience. B-TARGET

Excellent O
food B-TARGET
and O
service B-TARGET

Everything O
very O
good O

Intimate O
and O
quiet O
environment, B-TARGET
good O
treatment B-TARGET
and O
good O
quality O
in O
the O
meats. B-TARGET

The O
price O
is O
a O
bit O
high O
but O
reasonable. O

Excellent O
charter, B-TARGET
exquisite O
meats, B-TARGET
rich O
specialties, B-TARGET
intimate O
atmosphere B-TARGET
and O
attentive O
service. B-TARGET

Very O
good O
quality-price O
ratio. O

Good O
service, B-TARGET
environment B-TARGET
and O
excellent O
food. B-TARGET

The O
food B-TARGET
is O
very O
rich, O
but O
the O
place B-TARGET
is O
extremely O
noisy O
(especially O
the O
upper O
floor). O

There O
was O
a O
time O
when O
I O
wanted O
to O
get O
out O
of O
the O
noise. B-TARGET

Very O
little O
privacy. B-TARGET

Maybe O
good O
for O
group O
dinners, O
but O
couples O
abstain. O

Local B-TARGET
almost O
perfect, O
kitchen B-TARGET
impeccable, O
quantity O
more O
than O
abundant, O
extensive O
letter B-TARGET
(food O
and O
wines) O
and O
price O
appropriate O
to O
what O
offer. O

Very O
recommended O
therefore. O

As O
a O
greeting, O
I O
will O
say O
that, O
with O
the O
exception O
of O
the O
head B-TARGET
of I-TARGET
the O
room O
(or O
owner, O
thing O
I O
don’t O
know), O
attentive, O
educated O
and O
detailed, O
the O
rest B-TARGET
of I-TARGET
the O
service, O
wireless O
pinganillos O
included, O
is O
not O
at O
the O
height O
of O
the O
rest, O
more O
in O
terms O
of O
education O
and O
forms O
than O
capacity: O
you O
would O
have O
to O
take O
care O
of O
aspects O
such O
as O
removing O
almost O
to O
the O
race O
dishes O
without O
finishing, O
tweeting O
by O
default O
or O
offering O
silence O
as O
any O
response O
to O
the O
question O
of O
the O
comensal O
in O
the O
choice O
between O
two O
options. O

It O
is O
a O
pity O
that O
successfully O
investing O
in O
the O
complicated O
(local, B-TARGET
raw O
material, B-TARGET
image, B-TARGET
website) B-TARGET
you O
ignore O
the O
basics: O
a O
couple O
of O
discolored O
waiters B-TARGET
that O
lower O
a O
customer’s O
rating O
from O
an O
