Good O
afternoon. O

My O
name O
is O
Vlad! O

I O
and O
my O
young O
man O
and O
a O
couple O
of O
his O
friends O
celebrated O
their O
birthdays O
literally O
on O
days O
in O
this O
restaurant. O

Good O
service B-TARGET
met O
us O
meterdotel B-TARGET
and O
led O
to O
the O
table O
which O
perfectly O
gave O
us. O

It O
was O
in O
a O
cozy O
corner B-TARGET
at O
the O
end O
of O
the O
main O
hall, O
the O
dim B-TARGET
light I-TARGET
is O
the O
main O
part O
of O
this O
restaurant O
there O
is O
no O
daylight O
it O
was O
a O
big O
plus O
for O
our O
birthday! O

Just O
we O
came O
at O
four O
o'clock O
in O
the O
day, O
so O
the O
evening O
was O
pleasantly O
extended...... O

For O
our O
not O
big O
banquet O
we O
ordered O
a O
couple O
of O
pleasant O
dishes, B-TARGET
I O
ordered O
myself O
napkins B-TARGET
very O
tasty O
and O
quite O
inexpensive O
about O
300 O
rubles O
in O
my O
opinion, O
my O
young O
man O
ordered O
meat B-TARGET
dishes I-TARGET
on I-TARGET
the O
mangle, O
which O
they O
have O
full, O
he O
does O
not O
like O
normally, O
and O
here O
liked O
his O
friends O
also O
ordered O
a O
portion O
of O
different O
meat B-TARGET
on I-TARGET
the O
mangle O
also O
very O
liked! O

Just O
before O
the O
evening O
we O
were O
warned O
that O
there O
would O
be O
live B-TARGET
music, I-TARGET
we O
were O
so O
delighted O
by O
this O
unexpected O
surprise O
at O
us O
just O
came O
the O
time O
for O
dances, O
and O
here O
accompanied O
by O
such O
a O
beautiful O
voice B-TARGET
of O
the O
soloist...[1]. O

In O
general O
we O
stayed O
insanely O
satisfied O
spent O
the O
evening O
in O
this O
restaurant, B-TARGET
so O
we O
recommend O
to O
all)) O

We O
were O
in O
Diet O
last O
week O
with O
a O
friend. O

We O
went O
by O
chance, O
both O
of O
us O
have O
not O
been O
to O
Chinese O
restaurants, O
decided O
to O
try O
what O
it O
is. O

We O
didn't O
know O
what O
to O
order, O
we O
decided O
on O
the O
taste O
of O
the O
waiter. O

Not O
completely O
disappointed! O

My O
friend O
brought O
a O
turkey, O
to O
me O
- O
pork O
pa-pekinsky. O

The O
food B-TARGET
is O
delicious, O
unusual. O

Interesting O
to O
go O
and O
try O
something O
else) O

Regarding O
the O
interior: B-TARGET
the O
place B-TARGET
is O
quiet, O
there O
are O
no O
noisy O
companies O
(there O
was O
at O
least O
at O
the O
moment O
of O
our O
visit), O
very O
pleasant O
and O
cozy O
atmosphere, B-TARGET
all O
in O
the O
best O
traditions. O

They O
were O
very O
satisfied O
with O
this O
institution. B-TARGET

I O
have O
been O
in O
this O
establishment O
several O
times, O
about O
the O
kitchen B-TARGET
I O
can O
say O
only O
the O
best. O

Amazing O
pasta B-TARGET
with I-TARGET
salmon,very I-TARGET
delicious O
soups, B-TARGET
excellent O
desserts. B-TARGET

Last O
time O
I O
was O
with O
friends, O
everyone O
stayed O
satisfied O
with O
the O
service B-TARGET
and O
food. B-TARGET

The O
interior B-TARGET
is O
not O
bad, O
several O
rooms B-TARGET
for O
different O
taste O
and O
company. O

Generally O
standing O
place B-TARGET
for O
lunch O
and O
dinner O
with O
friends. O

Yesterday O
celebrated O
birthday O
in O
a O
restaurant, O
went O
there O
for O
two O
days O
to O
explore. O

We O
both O
liked O
everything O
and O
we O
decided O
to O
invite O
guests O
there, O
one O
of O
whom O
was O
a O
great O
expert O
and O
critic O
in O
part O
of O
the O
food. O

Immediately O
I O
want O
to O
say O
that O
she O
did O
not O
have O
to O
criticize O
because O
she O
remained, O
like O
all O
the O
other O
guests, O
very O
satisfied! O

The O
interior B-TARGET
is O
in O
a O
light O
French O
style O
with O
pleasant O
lighting B-TARGET
on O
the O
tables, O
the O
service B-TARGET
without O
imposing O
extra O
dishes O
and O
drinks O
(the O
waiter O
Anna), O
everything O
was O
done O
clearly O
and O
quickly. O

Well, O
there O
is O
nothing O
to O
say O
about O
the O
quality B-TARGET
and I-TARGET
performance I-TARGET
of O
the O
dishes! B-TARGET

They O
took O
all O
the O
different O
salads B-TARGET
and O
hot B-TARGET
ones, O
and O
all O
stayed O
very O
satisfied O
(fish, B-TARGET
and O
meat, B-TARGET
and O
birds). B-TARGET

Everything O
is O
beautifully O
decorated O
and O
prepared O
right O
before O
the O
table. O

I O
think O
that O
this O
unfamiliar O
restaurant B-TARGET
"Veritas" I-TARGET
in O
the O
center O
of O
the O
city O
will O
become O
our O
family O
meeting O
place! O

Now O
when O
asked O
by O
friends O
"Which O
restaurant O
to O
go O
with O
guests O
from O
Moscow O
or O
celebrate O
birthday?" O
we O
will O
advise O
"Veritas". B-TARGET

Thank O
you O
very O
much O
to O
the O
restaurant O
staff B-TARGET
for O
the O
hearty O
and O
quality O
reception. B-TARGET

Further O
successes! O

Visited O
this O
restaurant O
25,08,12. O

After O
the O
visit O
the O
desire O
to O
come O
again O
is O
not. O

Very O
many O
faults O
both O
in O
the O
work O
of O
the O
waiters B-TARGET
and O
in O
the O
dishes. B-TARGET
1. O

We O
were O
with O
the O
child, O
ordered O
pizza O
from O
the O
children's O
menu. O

To O
a O
great O
surprise, O
the O
pizza B-TARGET
(once O
again O
from O
the O
children's O
menu!) O
was O
so O
sharp O
that O
adults O
could O
not O
eat O
it, O
not O
to O
mention O
the O
baby. O

The B-TARGET
waiter I-TARGET
generally O
commented O
that O
the O
children's O
menu O
is O
for O
adults O
who O
want O
to O
order O
small O
portions, O
not O
for O
children. O
:)) O
2. O

They O
asked O
to O
bring O
ordinary O
apple O
juice, O
not O
freshly O
pressed, O
brought O
freshly O
pressed, O
had O
to O
return. O
3. O

Please O
bring O
"fresh-pressed O
juice O
in O
a O
large O
glass O
+ O
soda O
water" O
the O
juice O
brought O
in O
a O
small O
glass O
forgot O
about O
the O
water. O
4. O

We O
asked O
the O
waiter O
to O
help O
us O
choose O
from O
2 O
dishes. O

The B-TARGET
waiter I-TARGET
said O
"we O
have O
everything O
delicious" O
and O
could O
not O
help O
with O
the O
choice. O

The O
kitchen B-TARGET
was O
rated O
3, O
because O
of O
the O
total O
order O
only O
Panakota B-TARGET
liked. O

Salad B-TARGET
Caesar I-TARGET
was O
so O
self O
+ O
very O
sharp O
pizza B-TARGET
from O
the O
children's O
menu. O

For O
Service B-TARGET
3, O
because O
the O
waiter B-TARGET
confused O
the O
orders, O
could O
not O
help O
with O
the O
choice O
(or O
did O
not O
want O
when O
the O
client O
asks O
to O
help O
determine, O
he O
does O
not O
want O
to O
hear O
"all O
delicious, O
take O
all"). O

And O
the O
opinion O
that O
children's O
menu O
is O
not O
for O
children, O
in O
general O
"dead". O

From O
the O
advantages O
I O
want O
to O
note O
the O
babysitter B-TARGET
in O
the O
children's O
room, O
very O
nice O
girl, B-TARGET
the O
child O
very O
liked. O

I O
didn't O
go O
to O
this O
restaurant O
when O
I O
was O
a O
kid, O
I O
don't O
know O
how O
it O
used O
to O
be, O
but O
now O
it's O
quite O
nice O
and O
cosy O
establishment B-TARGET
with O
good O
cuisine. B-TARGET

They O
first O
visited O
Cheburek O
a O
month O
ago O
- O
celebrated O
with O
friends O
the O
previous O
wedding. O

The O
administration B-TARGET
kindly O
provided O
us O
with O
a O
new O
banquet O
hall, O
where O
we O
closed, O
turned O
on O
our O
music, O
smoked O
pot, O
had O
fun, O
and O
no O
one O
interfered O
with O
us. O

The O
kitchen B-TARGET
was O
great O
for O
all O
the O
friends, O
the O
service B-TARGET
was O
great O
too O
(the B-TARGET
waitresses I-TARGET
were O
wonderful). O

I O
was O
most O
pleased O
that O
the O
administration B-TARGET
came O
to O
meet O
us O
and O
made O
a O
good O
discount O
on O
the O
banquet O
:) O

A O
week O
later O
my O
friend O
returned O
to O
Cheburek B-TARGET
with O
her O
relatives, O
