We O
feel O
very O
comfortable. O

Good O
service, B-TARGET
friendly O
atmosphere B-TARGET
and O
quiet, O
good O
food. B-TARGET

Highly O
recommended O

The O
attention B-TARGET
is O
very O
good, O
the O
waiters B-TARGET
are O
very O
attentive O
to O
one O
all O
the O
time. O

And O
the O
spectacular O
food, B-TARGET
that's O
why O
the O
good O
is O
paid... O

The O
only O
thing O
I O
saw O
was O
that O
I O
ordered O
some O
Provençal B-TARGET
sauce I-TARGET
and O
they O
charged O
us, O
so O
all O
right. O

Nothing O
special. O

I've O
been O
told O
wonders O
and O
it's O
okay, O
but O
that's O
all. O

The O
meats B-TARGET
are O
good, O
but O
like O
many O
others. O

The O
price, O
for O
what O
is O
food, B-TARGET
for O
my O
taste O
is O
high. O

product B-TARGET
quality, O
service, B-TARGET
environment B-TARGET
everything O
was O
excellent O

9 B-TARGET
Queens I-TARGET
has O
already O
been O
one O
of O
the O
best O
experiences O
we O
have O
had O
in O
recent O
years. O

The O
service B-TARGET
is O
very O
good O
and O
the O
quality O
of O
the O
food B-TARGET
at O
the O
same O
level. O

The O
right O
prices O
and O
you O
can O
well O
make O
a O
higher O
or O
lower O
expense O
depending O
on O
your O
pocket O
because O
the O
card B-TARGET
is O
very O
wide. O

We'll O
be O
back. O

Fabulous, O
very O
attentive O
excellent O
food B-TARGET
and O
a O
great O
atmosphere. B-TARGET

My O
friends O
were O
delighted O
and O
so O
were O
we. O

It's O
worth O
it O
to O
go O
and O
taste O
their O
meats. B-TARGET

The O
restaurant B-TARGET
is O
beautiful, O
modern O
and O
welcoming. O

The O
food B-TARGET
is O
delicious O
and O
quality. O

Very O
attentive O
service. B-TARGET

We've O
been O
to O
the O
9 B-TARGET
Queens I-TARGET
for O
dinner O
several O
times O
and O
never O
disappoint! O

The O
quality O
of O
the O
meats B-TARGET
the O
excellent O
service B-TARGET
and O
its O
good O
winery B-TARGET
makes O
it O
a O
spectacular O
place!! O

We'll O
definitely O
repeat. O

excellent O
restaurant B-TARGET
with O
high O
quality O
meat. B-TARGET

We O
loved O
it! O

The O
truth O
is O
that O
everything O
is O
very O
well; O
service, B-TARGET
food B-TARGET
and O
appearance, B-TARGET
all O
right. O

We've O
been O
to O
dinner, O
and O
the O
truth O
is, O
we O
loved O
it. O

The O
place B-TARGET
is O
very O
nice O
the O
great O
food B-TARGET
and O
the O
unbeatable O
deal. B-TARGET

fully O
recommended O

It O
has O
been O
all O
excellent, O
the O
quality, O
the O
times, B-TARGET
the O
environment B-TARGET
(perhaps O
too O
enlightened) O
and O
the O
service. B-TARGET

The O
milk B-TARGET
candy I-TARGET
is O
divine. O

First O
visit O
to O
this O
restaurant B-TARGET
with O
satisfactory O
results. O

Quality, O
professionalism O
and O
price O
according O
to O
the O
offer. O

Almost O
like O
in O
Argentina. O

Fantastic!!! O

Delicious!!! O

Fantastic O
resaturant B-TARGET
with O
excellent O
food B-TARGET
and O
even O
better O
service!!!! B-TARGET

tremendous O
kindness, B-TARGET
it's O
a O
taste! O

Very O
good O
service, B-TARGET
little O
plates O
are O
missing O
for B-TARGET
the I-TARGET
bread, I-TARGET
but O
despite O
that, O
all O
right. O

It O
would O
be O
good O
Argentine B-TARGET
music. I-TARGET

Prices O
are O
within O
normal O
parameters. O

I O
was O
at O
a O
business O
meal O
yesterday O
with O
a O
customer O
and O
both O
the O
service B-TARGET
and O
the O
quality O
of O
the O
food B-TARGET
was O
excellent. O

Congratulations!! O

A O
good O
restaurant, B-TARGET
although O
something O
expensive O
for O
the O
amount O
of O
food B-TARGET
served O
on O
the O
plate. O

The O
normal O
roast B-TARGET
strip, I-TARGET
nothing O
extraordinary. O

All O
right O
desserts B-TARGET
and O
kill. B-TARGET

Lighting B-TARGET
on O
the O
upper O
floor O
could O
be O
improved, O
too O
much O
flat O
light. O

Recommended O
100%. O

A O
beautiful O
place, B-TARGET
with O
an O
exquisite O
atmosphere. B-TARGET

The O
unbeatable O
service B-TARGET
and O
exceptional O
food!! B-TARGET

Exquisite O
salads B-TARGET
and O
meat. B-TARGET

Abundant O
food. B-TARGET

I'm O
sure O
you O
don't O
get O
hungry O
and O
excellent O
clairvoyance. O

The O
quality O
of O
meat B-TARGET
is O
insurmountable O
and O
I O
want O
to O
highlight O
the O
excellent O
service B-TARGET
received. O

If O
you O
haven't O
tasted O
their O
meat B-TARGET
you're O
missing O
something O
very O
big! O

I O
was O
having O
dinner O
with O
some O
friends O
and O
the O
food B-TARGET
was O
delicious O
and O
the O
waitress's O
deal B-TARGET
was O
excellent. O

We O
will O
repeat O
for O
sure!! O

The O
best O
thing: O
to O
be O
advised O
by O
them B-TARGET
when O
choosing O
a O
dish. O

I O
loved O
it!!! O

I'll O
be O
right O
back! O

The O
restaurants B-TARGET
ate O
very O
well O
and O
also O
a O
charming O
and O
efficient O
service. B-TARGET

We O
take O
Void O
and O
Entrañas O
(specialities O
known, O
among O
other O
things, O
for O
the O
softness O
of O
their O
flesh). O

In O
some O
moments, O
we O
came O
to O
wonder O
if O
what O
we O
had O
in O
our O
mouth O
was O
meat B-TARGET
or O
a O
piece O
of O
tire. O

Disappointing... O

Excellent O
food B-TARGET
quality, O
super O
friendly O
and O
always O
attentive O
service. B-TARGET

The O
very O
cozy O
atmosphere. B-TARGET

An O
unforgettable O
culinary O
experience. B-TARGET

Super O
food B-TARGET
and O
service B-TARGET

It's O
all O
very O
good. O

intimate O
and O
quiet O
atmosphere, B-TARGET
good O
treatment B-TARGET
and O
good O
quality O
in O
meats. B-TARGET

The O
price O
is O
rather O
high O
but O
reasonable. O

Excellent O
menu, B-TARGET
exquisite O
meats, B-TARGET
delicious O
specialties, B-TARGET
intimate O
atmosphere B-TARGET
and O
attentive O
service. B-TARGET

Very O
good O
value O
for O
money. O

Good O
service, B-TARGET
atmosphere B-TARGET
and O
excellent O
food. B-TARGET

The O
food B-TARGET
very O
rich, O
but O
the O
place B-TARGET
extremely O
noisy O
(especially O
the O
top O
floor). O

There O
was O
a O
time O
when O
I O
wanted O
to O
leave O
because O
of O
the O
noise. B-TARGET

Little O
intimacy. B-TARGET

Maybe O
good O
for O
group O
dinners, O
but O
couples O
abstain. O

Local B-TARGET
almost O
perfect, O
impeccable O
cuisine, B-TARGET
quantity O
more O
than O
abundant, O
extensive O
menu B-TARGET
(food O
and O
wines) O
and O
price O
suitable O
to O
what O
you O
offer. O

Highly O
recommended, O
therefore. O

As O
a O
caveat, O
I O
will O
say O
that, O
with O
the O
exception O
of O
the O
head B-TARGET
of I-TARGET
the O
room O
(or O
owner, O
something O
I O
do O
not O
know), O
attentive, O
educated O
and O
detailed, O
the O
rest B-TARGET
of I-TARGET
the O
service, O
cordless O
pings O
included, O
is O
not O
up O
to O
the O
rest, O
more O
in O
terms O
of O
education O
and O
forms O
than O
to O
the O
ability: O
it O
would O
be O
necessary O
to O
take O
care O
of O
aspects O
such O
as O
removing O
almost O
to O
the O
race O
dishes O
without O
finishing, O
tuning O
by O
default O
or O
offering O
the O
silence O
as O
any O
answer O
to O
the O
doubt O
of O
the O
diner O
in O
the O
choice O
between O
two O
options. O

It's O
a O
shame O
that O
successfully O
investing O
in O
the O
complicated O
(local, B-TARGET
raw O
material, B-TARGET
image, B-TARGET
website) B-TARGET
overlooks O
the O
basics: O
a O
couple O
of O
disgruntled O
waiters B-TARGET
that O
lower O
a O
customer's O
grade O
from O
an O
excellent O
to O
a O
remarkable O
high. O

It O
was O
a O
perfect O
dinner, O
for O
the O
place B-TARGET
and O
especially O
for O
the O
food. B-TARGET

They O
