We O
are O
very O
pleased. O

Good O
service, B-TARGET
friendly O
and O
peaceful O
atmosphere, B-TARGET
good O
food. B-TARGET

The O
Committee O
recommends O
that O
the O
State O
party: O

The O
staff B-TARGET
were O
very O
helpful O
and O
helpful. O

And O
the O
spectacular O
food, B-TARGET
that's O
why O
the O
good O
is O
paid... O

The O
only O
thing O
I O
saw O
is O
that O
I O
asked O
for O
a O
bit O
of O
provenzal B-TARGET
sauce I-TARGET
and O
they O
charged O
us O
for O
it, O
so O
you O
do O
everything O
well. O

Nothing O
special. O

Wonders O
have O
been O
commented O
on O
me O
and O
that's O
all O
right, O
but O
nothing O
more. O

Meat B-TARGET
is I-TARGET
good, O
but O
like O
many O
others. O

The O
breakfast B-TARGET
was O
very O
good O
and O
the O
staff O
were O
very O
helpful. O

the O
quality O
of O
the O
product, B-TARGET
the O
service, B-TARGET
the O
environment B-TARGET
all O
was O
excellent O

9reinas B-TARGET
has O
already O
been O
one O
of O
the O
best O
experiences O
we O
have O
had O
in O
recent O
years. O

The O
staff B-TARGET
was O
very O
helpful O
and O
helpful. O

The O
proper O
prices O
and O
well O
you O
can O
make O
a O
larger O
or O
smaller O
expense O
depending O
on O
your O
pocket O
because O
the O
card B-TARGET
is O
very O
wide. O

We O
will O
come O
back. O

The O
staff B-TARGET
were O
very O
helpful O
and O
helpful. O

My O
friends O
were O
delighted O
and O
we O
were O
delighted O
too. O

It O
is O
worth O
going O
and O
testing O
your O
meat. B-TARGET

The O
restaurant B-TARGET
is O
beautiful, O
modern O
and O
welcoming. O

The O
food B-TARGET
is O
delicious O
and O
good O
quality. O

The O
staff B-TARGET
was O
very O
helpful O
and O
helpful. O

We O
went O
several O
times O
to O
dinner O
at O
9reinas B-TARGET
and O
never O
fail! O

The O
quality O
of O
the O
meat B-TARGET
the O
excellent O
service B-TARGET
and O
its O
good O
winery B-TARGET
makes O
it O
a O
spectacular O
place!! O

We O
will O
undoubtedly O
repeat O
it. O

excellent O
